ID,airport_name,type,country,lat,long,elevation,service
CZ-0163,Excalibur City Airfield,small_airport,CZ,48.761552,16.055408,778.0,no
CZ-0165,Kravi Hora Airfield,small_airport,CZ,48.917038,16.841317,584.0,no
CZ-0166,Chvojenec Airstrip,small_airport,CZ,50.108633,15.926742,,no
CZ-0167,Dolní Bojanovice Airstrip,small_airport,CZ,48.85482,17.01794,,no
CZ-0169,Kejžlice Airfield,small_airport,CZ,49.591899,15.401365,1588.0,no
CZ-0170,Budkovice Airfield,small_airport,CZ,49.078687,16.355617,,no
CZ-0172,Letiště Orlová,small_airport,CZ,49.85503,18.43521,,no
CZ-0175,Bobrová Ultralight Airfield,small_airport,CZ,49.4955,16.10199,1844.0,no
CZ-0177,Luka nad Jihlavou ULM,small_airport,CZ,49.38244,15.71368,,no
CZ-0178,Hrabice airstrip,small_airport,CZ,49.06812,13.7603,,no
CZ-0180,Jestřabí v Krkonoších ULM,small_airport,CZ,50.68215,15.48237,2546.0,no
CZ-0181,Manětín Airstrip,small_airport,CZ,49.982799,13.227839,1578.0,no
CZ-0182,Kostelec Airstrip,small_airport,CZ,49.67076,13.03224,1581.0,no
CZ-0183,Moravské Budějovice Airfield,small_airport,CZ,49.042693,15.828638,,no
CZ-0184,Jilemnice Airstrip,small_airport,CZ,50.61056,15.538616,1776.0,no
CZ-0185,Mříčná Airstrip,small_airport,CZ,50.59624,15.48122,,no
CZ-0187,Domaželice Airstrip,small_airport,CZ,49.444719,17.541561,,no
CZ-0190,Kněževes Airstrip,small_airport,CZ,49.4619,15.98493,,no
CZ-0191,Kámen Air Base,closed,CZ,49.417778,14.993889,,no
CZ-0192,Choceň Airstrip,small_airport,CZ,49.97728,16.184921,873.0,no
CZ-0193,Mariánské Lázně Airfield,closed,CZ,49.922798,12.7247,1772.0,no
CZ-0198,Brťov Airfield,small_airport,CZ,49.410857,16.499441,,no
